Electoral District Code,Electoral District Name,Candidate's Ballot Name,Affiliation,Total Valid Votes,% of Popular Vote,Ballot Boxes Reported,Date,Time
ABM,Abbotsford-Mission,Wendy Bales,Independent,50,1.39%,25 of 117,14/05/2013,09:18:08 PM
ABM,Abbotsford-Mission,Roman Bojczuk,Independent,29,0.80%,25 of 117,14/05/2013,09:18:08 PM
ABM,Abbotsford-Mission,Aird Flavelle,Green Party of BC,347,9.62%,25 of 117,14/05/2013,09:18:08 PM
ABM,Abbotsford-Mission,Simon Gibson,BC Liberal Party,2067,57.29%,25 of 117,14/05/2013,09:18:08 PM
ABM,Abbotsford-Mission,Marcus Halliday,BC Excalibur Party,16,0.44%,25 of 117,14/05/2013,09:18:08 PM
ABM,Abbotsford-Mission,Preet Rai,BC NDP,683,18.93%,25 of 117,14/05/2013,09:18:08 PM
ABM,Abbotsford-Mission,Don Stahl,BC Conservative Party,416,11.53%,25 of 117,14/05/2013,09:18:08 PM
ABS,Abbotsford South,Steve Finlay,BC Marijuana Party,143,2.47%,44 of 134,14/05/2013,09:18:08 PM
ABS,Abbotsford South,Lakhvinder Jhaj,BC NDP,1285,22.17%,44 of 134,14/05/2013,09:18:08 PM
ABS,Abbotsford South,Darryl Plecas,BC Liberal Party,2660,45.89%,44 of 134,14/05/2013,09:18:08 PM
ABS,Abbotsford South,Patricia Smith,BC Excalibur Party,71,1.22%,44 of 134,14/05/2013,09:18:08 PM
ABS,Abbotsford South,John van Dongen,Independent,1637,28.24%,44 of 134,14/05/2013,09:18:08 PM
ABW,Abbotsford West,Michael de Jong,BC Liberal Party,1890,53.09%,25 of 114,14/05/2013,09:18:08 PM
ABW,Abbotsford West,Sukhi Dhami,BC NDP,962,27.02%,25 of 114,14/05/2013,09:18:08 PM
ABW,Abbotsford West,Moe Gill,Independent,220,6.18%,25 of 114,14/05/2013,09:18:08 PM
ABW,Abbotsford West,Kerry-Lynn Osbourne,BC Excalibur Party,14,0.39%,25 of 114,14/05/2013,09:18:08 PM
ABW,Abbotsford West,Stephen Carl O'Shea,Green Party of BC,158,4.44%,25 of 114,14/05/2013,09:18:08 PM
ABW,Abbotsford West,Paul Brian Redekopp,BC Conservative Party,316,8.88%,25 of 114,14/05/2013,09:18:08 PM
APR,Alberni-Pacific Rim,Darren Frank DeLuca,BC Liberal Party,3276,34.84%,77 of 116,14/05/2013,09:18:08 PM
APR,Alberni-Pacific Rim,Scott Kenneth Fraser,BC NDP,5423,57.67%,77 of 116,14/05/2013,09:18:08 PM
APR,Alberni-Pacific Rim,Enid Mary Sangster-Kelly,BC Conservative Party,705,7.50%,77 of 116,14/05/2013,09:18:08 PM
BDS,Boundary-Similkameen,Sam Hancheroff,BC NDP,2105,37.74%,56 of 124,14/05/2013,09:18:08 PM
BDS,Boundary-Similkameen,John Kwasnica,Green Party of BC,522,9.36%,56 of 124,14/05/2013,09:18:08 PM
BDS,Boundary-Similkameen,Linda Margaret Larson,BC Liberal Party,2638,47.29%,56 of 124,14/05/2013,09:18:08 PM
BDS,Boundary-Similkameen,Doug Pederson,Independent,122,2.19%,56 of 124,14/05/2013,09:18:08 PM
BDS,Boundary-Similkameen,Mischa Popoff, ,191,3.42%,56 of 124,14/05/2013,09:18:08 PM
BND,Burnaby-Deer Lake,Kathy Corrigan,BC NDP,1630,48.20%,35 of 131,14/05/2013,09:18:08 PM
BND,Burnaby-Deer Lake,Shian Gu,BC Liberal Party,1479,43.73%,35 of 131,14/05/2013,09:18:08 PM
BND,Burnaby-Deer Lake,Richard (Rick) McGowan,Green Party of BC,273,8.07%,35 of 131,14/05/2013,09:18:08 PM
BNE,Burnaby-Edmonds,Raj Chouhan,BC NDP,1046,50.31%,26 of 133,14/05/2013,09:18:08 PM
BNE,Burnaby-Edmonds,Nicholas Edward D'Amico,BC Excalibur Party,29,1.39%,26 of 133,14/05/2013,09:18:08 PM
BNE,Burnaby-Edmonds,Jeff Kuah,BC Liberal Party,824,39.63%,26 of 133,14/05/2013,09:18:08 PM
BNE,Burnaby-Edmonds,Wyatt Tessari,Green Party of BC,180,8.66%,26 of 133,14/05/2013,09:18:08 PM
BNL,Burnaby-Lougheed,Darwin Augustus Ivan Burns,Green Party of BC,442,8.62%,45 of 129,14/05/2013,09:18:08 PM
BNL,Burnaby-Lougheed,Christine N. Clarke, ,398,7.77%,45 of 129,14/05/2013,09:18:08 PM
BNL,Burnaby-Lougheed,Ken Kramer,BC Liberal Party,2059,40.18%,45 of 129,14/05/2013,09:18:08 PM
BNL,Burnaby-Lougheed,Jane Shin,BC NDP,2226,43.43%,45 of 129,14/05/2013,09:18:08 PM
BNN,Burnaby North,Richard T. Lee,BC Liberal Party,972,45.63%,16 of 137,14/05/2013,09:18:08 PM
